STATE OF ARIZONA REGISTRATION REPORT,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Page: 1,
"2020 General Election - November 03, 2020",,,,,,,,,,,,,,,,,,
Compiled and Issued by the Arizona Secretary of State,,,,,,,,,,,,,,,,,,
Active,,,,,,,,,,,,,,,,,,
County,Precincts,,Date/Period,,,Democratic,,,Libertarian,Republican,Other,,Total,,,,,
,,,,,,,,,,,,,,,,,,
Total:,,,,42,"3,144",,,163,,"4,874",,"6,285",,"14,466",,,,
,,,,,,,,,,,,,,,,,,
Legislative District 16,,,,,,,,,,,,,,,,,,
Maricopa,,,,25,"1,746",,,79,,"2,504",,"3,177",,"7,506",,,,
Pinal,,,,21,579,,,30,,"1,057",,"1,641",,"3,307",,,,
Total:,,,,46,"2,325",,,109,,"3,561",,"4,818",,"10,813",,,,
,,,,,,,,,,,,,,,,,,
Legislative District 17,,,,,,,,,,,,,,,,,,
Maricopa,,,,40,"3,634",,,160,,"4,248",,"6,120",,"14,162",,,,
Total:,,,,40,"3,634",,,160,,"4,248",,"6,120",,"14,162",,,,
,,,,,,,,,,,,,,,,,,
Legislative District 18,,,,,,,,,,,,,,,,,,
Maricopa,,,,41,"4,524",,,195,,"3,859",,"6,177",,"14,755",,,,
Total:,,,,41,"4,524",,,195,,"3,859",,"6,177",,"14,755",,,,
,,,,,,,,,,,,,,,,,,
Legislative District 19,,,,,,,,,,,,,,,,,,
Maricopa,,,,29,"5,185",,,131,,"2,297",,"7,289",,"14,902",,,,
Total:,,,,29,"5,185",,,131,,"2,297",,"7,289",,"14,902",,,,
,,,,,,,,,,,,,,,,,,
Legislative District 20,,,,,,,,,,,,,,,,,,
Maricopa,,,,47,"4,277",,,163,,"3,728",,"7,383",,"15,551",,,,
Total:,,,,47,"4,277",,,163,,"3,728",,"7,383",,"15,551",,,,
,,,,,,,,,,,,,,,,,,
Legislative District 21,,,,,,,,,,,,,,,,,,
Maricopa,,,,42,"3,655",,,115,,"4,003",,"6,079",,"13,852",,,,
Total:,,,,42,"3,655",,,115,,"4,003",,"6,079",,"13,852",,,,
,,,,,,,,,,,,,,,,,,
Legislative District 22,,,,,,,,,,,,,,,,,,
Maricopa,,,,48,"2,816",,,128,,"4,962",,"5,395",,"13,301",,,,
Total:,,,,48,"2,816",,,128,,"4,962",,"5,395",,"13,301",,,,
