Report Date/Time: 11/03/2014 02:52 PM,,,,,Revised to Reflect Precinct Adjustment to LD 4 & LD 13,,,,,,,,Page Number 1,
,,,,,STATE OF ARIZONA REGISTRATION REPORT,,,,,,,,,
,,,,,,,"2014 General Election - November 4, 2014",,,,,,,
,,,,,,,Compiled and Issued by the Arizona Secretary of State,,,,,,,
,,,,,,ACTIVE,,,,,,,,
,,Precincts,Date/Period,,,,,,,,,Other,TOTAL,
,,,,Americans ,,,,Democratic,Green,Libertarian,Republican,,,
,,,,,,5,,,,"26,055",776,"17,863",,
,,,Coconino,,71,,,,,,,,"26,020","70,719"
,,,,,,1,,,,"6,553",51,"2,643",,
,,,Gila,,22,,,,,,,,"3,680","12,928"
,,,,,,2,,,,"5,727",58,"7,454",,
,,,Graham,,22,,,,,,,,"4,300","17,541"
,,,,,,0,,,,"2,115",22,"1,094",,
,,,Greenlee,,8,,,,,,,,"1,151","4,382"
,,,,,,0,,,,452,10,62,,
,,,Maricopa,,3,,,,,,,,410,934
,,,,,,0,,,,286,1,124,,
,,,Mohave,,2,,,,,,,,304,715
,,,,,,8,,,,"22,979",366,"17,523",,
,,,Navajo,,61,,,,,,,,"15,849","56,725"
,,,,,,2,,,,"14,848",378,"24,590",,
,,,Pima,,26,,,,,,,,"18,600","58,418"
,,,,,,5,,,,"27,528",560,"25,640",,
,,,Pinal,,60,,,,,,,,"31,932","85,665"
,,,,,,1,,,,"4,439",152,"6,069",,
,,,Yavapai,,7,,,,,,,,"7,058","17,719"
,,,,,327,,,,,,,,"121,715","371,927"
,,,,TOTALS,,28,,,,"137,333","2,522","110,329",,
,,Congressional District 2,,,,,,,,,,,,
,,,,,,11,,,,"18,784",431,"25,463",,
,,,Cochise,,49,,,,,,,,"23,923","68,612"
,,,,,,38,,,,"106,024","2,590","102,898",,
,,,Pima,,145,,,,,,,,"102,050","313,600"
,,,,,194,,,,,,,,"125,973","382,212"
,,,,TOTALS,,49,,,,"124,808","3,021","128,361",,
,,Congressional District 3,,,,,,,,,,,,
